ID,Lot,Priorite,Sujet,Symptome,Cause_probable,Correctif_demande,Effort,Owner_BLGCLOUD,Date_debut,Date_cible_prod,Statut,Bloquant,Preuve_attendue,Preuve_fournie,KPI_lie,Valeur_initiale,Valeur_cible,Valeur_actuelle,Validation_Papouille,Commentaire
BLG-P0-01,BLGCLOUD,P0,Canonical 404,Canonical produit en 404,Generation URL canonique courte,Clean canonical vers URL 200 et tests template,M,,,,Todo,Oui,"Capture source + crawl avant/apres",,Canonical vers 4xx,3656,0,,Non,
BLG-P0-02,BLGCLOUD,P0,Cohérence URL SEO,canonical og:url sitemap contradictoires,Sources URL multiples,Unifier source de vérité URL SEO,M,,,,Todo,Oui,"Comparatif HTML + sitemap",,URLs incohérentes,Oui,Non,,Non,
BLG-P0-03,BLGCLOUD,P0,Sitemap pollué,URLs invalides et internes dans sitemap,Filtre export incomplet,Générer sitemap avec URL 200 indexables,M,,,,Todo,Oui,"Export sitemap avant/apres + crawl",,URLs sitemap invalides,2204,<2%,,Non,
BLG-P0-04,BLGCLOUD,P0,Meta robots erreurs,Pages 404 indexables,Template erreur générique,Poser noindex sur 404 5xx,S,,,,Todo,Oui,"Source template 404 + test URL",,Pages erreur indexables,Oui,Non,,Non,
BLG-P0-05,BLGCLOUD,P0,Erreurs 4xx 5xx,Volume élevé de pages rompues,Routes mortes et exceptions,Plan de correction 301 + fix serveur + monitoring,L,,,,Todo,Oui,"Liste URL corrigées + logs",,Erreurs 4xx/5xx,"3263 / 29",Baisse hebdo,,Non,
BLG-P1-01,BLGCLOUD,P1,Schema invalide,Erreurs markup et availability texte,Template schema non conforme,Corriger microdata et JSON-LD Product,M,,,,Todo,Non,"Test Rich Results + diff code",,Erreurs schema,1452,Baisse continue,,Non,
BLG-P1-02,BLGCLOUD,P1,Performance CWV,CLS et LCP faibles,Scripts bloquants et images non optimisées,Dimensions images + defer + lazyload + purge JS/CSS,L,,,,Todo,Non,"Rapport PSI avant/apres",,CLS/LCP,"0.32 / LCP à améliorer",Amélioration mesurée,,Non,
BLG-P1-03,BLGCLOUD,P1,Routes backend exposées,URLs techniques découvertes indexables,Contrôle d'accès insuffisant,Bloquer routes en 403 et retirer liens internes,M,,,,Todo,Non,"Logs accès + vérification crawl",,URLs backend crawlables,13274,0,,Non,
BLG-P1-04,BLGCLOUD,P1,URLs malformées,URLs avec %26title dans path,Règles URL non normalisées,Réécriture URL et redirection 301,S,,,,Todo,Non,"Exemples URL avant/apres",,URLs malformées,Présent,0,,Non,
BLG-P2-01,BLGCLOUD,P2,DataLayer panier,removeFromCart null + absence view_cart,Implémentation dataLayer incomplète,Normaliser events GA4 et tests e-commerce,M,,,,Todo,Non,"Capture debug GTM + GA4",,Qualité events panier,Incomplet,Complet,,Non,
BLG-P2-02,BLGCLOUD,P2,Non-régression SEO,Retour de bugs après release,Absence de garde-fous en CI/CD,Ajouter tests automatiques SEO techniques,M,,,,Todo,Non,"Pipeline + rapport de tests",,Incidents post-release,Élevé,Baisse continue,,Non,
